Image,Bus Arrived,Signage Text,Bus Numbers,Queue Count
,,"335, 143m, 143",,
000.jpg,Yes,"335, 143m, 143",335.0,9.0
001.jpg,Yes,"335, 143m, 143",335.0,10.0
002.jpg,Yes,"335, 143m, 143",335.0,8.0
003.jpg,Yes,"335, 143m, 143",335.0,9.0
004.jpg,Yes,"335, 143m, 143",335.0,10.0
005.jpg,Yes,"335, 143m, 143",335.0,7.0
006.jpg,Yes,"335, 143m, 143",335.0,7.0
007.jpg,Yes,"335, 143m, 143",335.0,8.0
008.jpg,Yes,"335, 143m, 143",335.0,7.0
009.jpg,Yes,"335, 143m, 143",335.0,7.0
010.jpg,Yes,"335, 143m, 143",335.0,7.0
011.jpg,Yes,"335, 143m, 143",335.0,7.0
012.jpg,Yes,"335, 143m, 143",335.0,5.0
013.jpg,Yes,"335, 143m, 143",335.0,6.0
014.jpg,Yes,"335, 143m, 143",335.0,3.0
015.jpg,Yes,"335, 143m, 143",335.0,3.0
016.jpg,Yes,"335, 143m, 143",335.0,2.0
017.jpg,Yes,"335, 143m, 143",335.0,3.0
018.jpg,Yes,"335, 143m, 143",335.0,3.0
019.jpg,Yes,"335, 143m, 143",335.0,4.0
020.jpg,Yes,"335, 143m, 143",335.0,3.0
021.jpg,Yes,"335, 143m, 143",335.0,3.0
022.jpg,Yes,"335, 143m, 143",335.0,3.0
023.jpg,Yes,"335, 143m, 143",335.0,3.0
024.jpg,Yes,"335, 143m, 143",335.0,1.0
025.jpg,Yes,"335, 143m, 143",335.0,1.0
026.jpg,Yes,"335, 143m, 143",335.0,1.0
027.jpg,No,"335, 143m, 143",,1.0
028.jpg,Yes,"335, 143m, 143",335.0,3.0
029.jpg,No,"335, 143m, 143",,3.0
030.jpg,Yes,"335, 143m, 143",335.0,2.0
031.jpg,No,"335, 143m, 143",,4.0
